route_stop_id,route_id,direction_id,stop_sequence,trip_headsign,stop_id
1217,7,1,23,7 Crestview Station NB,1237
1218,333,1,34,333 Thaxton EB,551
1219,311,1,24,311 ACC RIVERSIDE EB,2497
1220,350,0,31,350 North Lamar Transit Center NB,1796
1221,310,0,15,310 ACC Riverside EB,2271
1222,801,1,21,801 Southpark Meadows SB,2763
1223,5,1,42,5 Northcross WB,1062
1224,800,1,16,800 Slaughter SB,6506
1225,30,1,40,30 Westgate Transit Center SB,489
1226,5,0,30,5 Tannehill EB,4088
1227,837,0,18,837 Downtown SB,1179
1228,324,1,5,324 Northcross WB,1276
1229,800,0,13,800 Mueller NB,4284
1230,7,1,57,7 Airport/Highland NB,1271
1231,20,0,25,20 Springdale NB,593
1232,325,1,25,325 Tech Ridge Park & Ride NB,2541
1233,10,0,59,10 Southpark Meadows SB,2627
1234,333,0,31,333 Oak Hill WB,3180
1235,337,1,5,337 Decker EB,2422
1236,383,0,26,383 Lakeline Station NB,2727
1237,318,0,35,318 Thaxton EB,5380
1238,318,1,21,318 Westgate Transit Center WB,5840
1239,311,0,35,311 Westgate Transit Center WB,1754
1240,300,1,25,300 Crestview Station NB,1028
1241,310,0,16,310 ACC Riverside EB,1008
1242,325,0,24,325 Norwood Transit Center SB,2582
1243,333,1,35,333 Thaxton EB,552
1244,1,1,40,1 Tech Ridge Park & Ride NB,608
1245,2,1,17,2 Springdale NB,657
1246,322,0,2,322 RBJ Center SB,1703
1247,392,0,7,392 Tech Ridge Park & Ride EB,4972
1248,803,0,14,803 Domain NB,5864
1249,3,1,38,3 Arboretum NB,4072
1250,383,1,12,383 North Lamar Transit Center SB,4958
1251,20,0,26,20 Springdale NB,5940
1252,2,0,25,2 EASTSIDE BUS PLAZA SB,1802
1253,30,1,41,30 Westgate Transit Center SB,490
1254,350,0,32,350 North Lamar Transit Center NB,1797
1255,803,1,14,803 Westgate Transit Center SB,5357
1256,7,1,24,7 Crestview Station NB,1238
1257,10,1,39,10 Norwood Transit Center NB,864
1258,800,0,14,800 Mueller NB,1364
1259,271,0,12,271 Grove WB,6241
1260,323,1,2,323 Norwood Transit Center EB,954
1261,333,0,6,333 Brush Country WB,5383
1262,5,0,31,5 Tannehill EB,4084
1263,5,1,43,5 Northcross WB,1063
1264,311,1,25,311 ACC RIVERSIDE EB,5713
1265,325,1,26,325 Tech Ridge Park & Ride NB,5752
1266,318,0,36,318 Thaxton EB,5623
1267,2,1,18,2 Springdale NB,658
1268,7,0,57,7 William Cannon SB,1213
1269,801,0,13,801 Tech Ridge Park & Ride NB,2606
1270,350,0,33,350 North Lamar Transit Center NB,6527
1271,318,1,22,318 Westgate Transit Center WB,5838
1272,1,1,41,1 Tech Ridge Park & Ride NB,609
1273,3,0,34,3 Southpark Meadows SB,1999
1274,310,0,17,310 ACC Riverside EB,1009
1275,325,0,25,325 Norwood Transit Center SB,2583
1276,333,0,7,333 Brush Country WB,2504
1277,333,0,32,333 Oak Hill WB,3182
1278,392,1,6,392 Kramer Station WB,5320
1279,4,1,27,4 Shady EB,1368
1280,311,0,36,311 Westgate Transit Center WB,2216
1281,3,1,39,3 Arboretum NB,776
1282,337,1,6,337 Decker EB,2423
1283,392,0,8,392 Tech Ridge Park & Ride EB,4973
1284,7,1,25,7 Crestview Station NB,1239
1285,310,0,18,310 ACC Riverside EB,1010
1286,5,1,44,5 Northcross WB,1064
1287,315,1,17,315 Oak Hill WB,6320
1288,383,1,13,383 North Lamar Transit Center SB,4959
1289,333,1,36,333 Thaxton EB,5703
1290,5,0,32,5 Tannehill EB,2107
1291,30,1,42,30 Westgate Transit Center SB,5357
1292,323,1,3,323 Norwood Transit Center EB,956
