stop_id,stop_sequence,trip_headsign,direction_id,route_id,wheelchair_accessible,bikes_allowed,stop_lat,stop_lon,stop_name,is_express
3770,11,10 Norwood Transit Center NB,1,10,1,1,30.191724,-97.790325,7201 S 1st/Prince Valiant,False
6362,2,801 Tech Ridge Park & Ride NB,0,801,1,1,30.169961,-97.787073,Slaughter Station (NB),True
2459,23,337 Mopac WB,0,337,1,1,30.32428,-97.69614,1206 Camino La Costa/Grand Canyon,False
4682,2,803 Westgate Transit Center SB,1,803,1,1,30.391483,-97.722548,Braker/Burnet Stadium Rapid NW Corner (SB),True
4539,19,324 Highland EB,0,324,1,1,30.362762,-97.696525,Rundberg/Lamar,False
3253,5,350 North Lamar Transit Center NB,0,350,1,1,30.22867,-97.700989,Montopolis/Santos,False
5283,2,345 Burnet WB,0,345,1,1,30.300218,-97.720574,Hancock Center,False
5374,2,1 William Cannon SB,0,1,1,1,30.422654,-97.667176,1000 Howard/Center Line,False
3261,4,2 EASTSIDE BUS PLAZA SB,0,2,1,1,30.26848,-97.69626,1135 Airport/Goodwin,False
1913,10,30 Westgate Transit Center SB,1,30,1,1,30.37377,-97.756008,8140 Mesa/Steck,False
6404,1,322 Hancock Center NB,1,322,1,1,30.253346,-97.735557,27 Waller/Flores,False
6373,1,803 Domain NB,0,803,1,1,30.230908,-97.790295,Westgate Transit Center - A,True
898,7,18 Exposition WB,1,18,1,1,30.285994,-97.682246,4600 Martin Luther King/Springdale,False
5071,2,383 Lakeline Station NB,0,383,1,1,30.350323,-97.713047,Research/Lamar,False
2639,12,10 Norwood Transit Center NB,1,10,1,1,30.194695,-97.78927,6907 S 1st/Thelma,False
2933,7,3 Arboretum NB,1,3,1,1,30.174099,-97.809607,Slaughter/United Kingdom,False
2585,20,324 Highland EB,0,324,1,1,30.361569,-97.694541,Rundberg/Slayton,False
